Provinsi,Kabupaten,Nama,Alamat,logo,url ,video,Sekolah ,Longitude,Latitude 
Jawa Tengah ,Banjarnegara,Budhi Sarwono,"Jl. Ahmad Yani No.16, Krandegan, Kec. Banjarnegara, Banjarnegara, Jawa Tengah 53418",banjarnegara.png,https://www.banjarnegarakab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/HhKVRp5bXrk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",630,109.6960817,-7.3959665
Jawa Tengah ,Banyumas,Achmad Husein ,"Jl. Kabupaten No.1, Purwokerto, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115",banyumas.png,https://vaberaya.banyumaskab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/GFEKBtLTm4I"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",816,109.2301048,-7.4230544
Jawa Tengah ,Batang,Wihaji,"Jl. RA Kartini No.1, Bogoran, Kauman, Kec. Batang, Kabupaten Batang, Jawa Tengah 51216",batang.png,https://www.batangkab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/ET-VsuRsOvM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",459,109.7296502,-6.9109878
Jawa Tengah ,Blora,"H. Arief Rohman, M.Si","Jl. Pemuda No.12, Mlangsen, Kec. Blora, Kabupaten Blora, Jawa Tengah 58215",blora.png,https://www.blorakab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/LNTimMyvn8M"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",600,111.4149228,-6.9699741
Jawa Tengah ,Boyolali,Said Hidayat,"Wonosari, Kemiri, Mojosongo, Boyolali Regency, Central Java 57482",boyolali.png,http://boyolali.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/8U3fUNZcw3w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",596,110.6105958,-7.5458901
Jawa Tengah ,Brebes,Idza Priyanti,"Jl. Pangeran Diponegoro No.141, Brebes Tengah, Brebes, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52212",brebes.png,https://brebeskab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/c5sixGL30zU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",899,109.0392346,-6.8703582
Jawa Tengah ,Cilacap,Tatto Suwarto Pamuji,"Jl. Jend. Sudirman No.32, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",cilacap.png,https://cilacapkab.go.id/v3/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/3aDSNuRVuQc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1033,109.0095399,-7.7258966
Jawa Tengah ,Demak,Eistianah,"Jl. Kyai Singkil No.7, Petengan Selatan, Bintoro, Kec. Demak, Kabupaten Demak, Jawa Tengah 59511",demak.png,https://www.demakkab.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/m-zKedCVE7Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",490,110.6383928,-6.8916019
Jawa Tengah ,Grobogan,Sri Sumarni,"Jl. Gatot Subroto No.6, Brambangan, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111",grobogan.png,https://www.grobogan.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/STxD3MIk6E8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",806,110.9173671,-7.0821985
Jawa Tengah ,Jepara,Dian Kristiandi,"Jl. Kartini No.1, Panggang I, Panggang, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59411",jepara.png,https://jepara.go.id/,"<iframe width=""280"" height=""180"" src=""https://www.youtube.com/embed/eYTurqmEjpA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",598,110.6680868,-6.5903396
