Kantor,Alamat,Longitude,Latitude 
Kantor Bupati Banjarnegara ,"Jl. Ahmad Yani No.16, Krandegan, Kec. Banjarnegara, Banjarnegara, Jawa Tengah 53418",109.6960817,-7.3959665
Kantor Bupati Banyumas,"Jl. Kabupaten No.1, Purwokerto, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115",109.2301048,-7.4230544
Kantor Bupati Batang,"Jl. RA Kartini No.1, Bogoran, Kauman, Kec. Batang, Kabupaten Batang, Jawa Tengah 51216",109.7296502,-6.9109878
Kantor Bupati Blora,"Jl. Pemuda No.12, Mlangsen, Kec. Blora, Kabupaten Blora, Jawa Tengah 58215",111.4149228,-6.9699741
Kantor Bupati Boyolali,"Wonosari, Kemiri, Mojosongo, Boyolali Regency, Central Java 57482",110.6105958,-7.5458901
Kantor Bupati Brebes,"Jl. Pangeran Diponegoro No.141, Brebes Tengah, Brebes, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52212",109.0392346,-6.8703582
Kantor Bupati Cilacap,"Jl. Jend. Sudirman No.32, Cilacap, Sidanegara, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53212",109.0095399,-7.7258966
Kantor Bupati Demak,"Jl. Kyai Singkil No.7, Petengan Selatan, Bintoro, Kec. Demak, Kabupaten Demak, Jawa Tengah 59511",110.6383928,-6.8916019
Kantor Bupati Grobogan,"Jl. Gatot Subroto No.6, Brambangan, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111",110.9173671,-7.0821985
Kantor Bupati Jepara,"Jl. Kartini No.1, Panggang I, Panggang, Kec. Jepara, Kabupaten Jepara, Jawa Tengah 59411",110.6680868,-6.5903396
Kantor Bupati Karanganyar,"Komplek Perkantoran Cangaan, Jl. Lawu No. 385B, Badran Asri, Cangakan, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57712",110.9396403,-7.5957403
Kantor Bupati Kebumen,"Jl. Veteran No.2, Kebumen, Bumirejo, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah 54311",109.6536997,-7.6687641
Kantor Bupati Kendal,"Jl. Raya Soekarno-Hatta No.193, Karanggeneng, Pegulon, Kec. Kendal, Kabupaten Kendal, Jawa Tengah 51313",110.2035929,-6.9231013
Kantor Bupati Klaten,"Jl. Pemuda No.294, Dusun 1, Kabupaten, Kec. Klaten Sel., Kabupaten Klaten, Jawa Tengah 57413",110.5921913,-7.7127812
Kantor Bupati Kudus ,"Jl. Simpang Tujuh No.1, Kudus, Demaan, Kec. Kota Kudus, Kabupaten Kudus, Jawa Tengah 59313",110.8421524,-6.8059287
Kantor Bupati Magelang,"Jl. Soekarno Hatta No.59, Patran, Sawitan, Mungkid, Magelang, Jawa Tengah 56511",110.2194243,-7.5925942
Kantor Bupati Pati,"Jl. Tombronegoro No.1, Kaborongan, Pati Lor, Kec. Pati, Kabupaten Pati, Jawa Tengah 59111",111.0399396,-6.7525754
Kantor Bupati Pekalongan,"Nyamok, Tanjungsari, Kajen, Pekalongan, Central Java 51161",109.5911522,-7.0250955
Kantor Bupati Pemalang,"Jl. Suro Hadikusumo No.1, Kebondalem, Kec. Pemalang, Kabupaten Pemalang, Jawa Tengah 52312",109.380606,-6.8935968
Kantor Bupati Purbalingga,"Jl. Onje No.1B, Purbalingga, Purbalingga Lor, Kec. Purbalingga, Kabupaten Purbalingga, Jawa Tengah 53311",109.3640082,-7.3876984
Kantor Bupati Purworejo,"Jl. Proklamasi No.2, Plaosan, Purworejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54151",110.0082771,-7.7142404
Kantor Bupati Rembang,"Jl. P. Diponegoro No.90, Rembangan, Tasikagung, Kec. Rembang, Kabupaten Rembang, Jawa Tengah 59212",111.3425678,-6.7036898
Kantor Bupati Semarang,"Sembungan, Ungaran, Ungaran Barat Sub-District, Semarang, Central Java 50511",110.404091,-7.1292129
Kantor Bupati Sragen,"Jl. Sukowati No.255, Karang Duwo, Sragen Tengah, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57211",111.0231704,-7.4262161
